CD_FILIAL;NOME_FILIAL;BPLFrName;ENDERECO;AddressFr;UserSign2;UpdateDate;DflWhs;DflTaxCode;CNPJ;INSCRICAO_MUNICIPAL;PrefState;ENDEREÇO_1;ENDEREÇO_2;ENDEREÇO_3;ENDEREÇO_4;CEP;REGIÃO;CIDADE;ESTADO;County;PAÍS;NOME;DfltResWhs;U_Matriz;U_MatrizGrupo;U_SKILL_CNPJSCP;U_VF_Medicao;InscricaoEstadual;Situacao
12;V. F. GOMES PARTICIPACOES LTDA;;"AVDAS EMBAUBAS,1100 78550-222-SINOP-MT BRASIL";;17;09/05/2025 00:00;EN11;1014;48.134.418/0001-18;Isento;;AV;DAS EMBAUBAS;1100;TERREO SALA 1;78550-222;Setor Comercial;Sinop;MT;2403;BR;V. F. GOMES PARTICIPACOES;EN11;S;;;N;Isento;Ativo
65;V. F. GOMES CONSTRUTORA LTDA - FILIAL MG;;"RUADOS INCONFIDENTES,911 30.140-128-BELO HORIZONTE-MG BRASIL";;17;04/05/2025 00:00;EN66;601;13.495.966/0009-46;;;Rua;DOS INCONFIDENTES;911;;30.140-128;SAVASSI;BELO HORIZONTE;MG;1410;BR;V. F. GOMES CONSTRUTORA - FILIAL MG;EN66;N;1;;N;Isento;Ativo
72;FRONTEIRA DISTRIBUIDORA DE ASFALTO LTDA FILIAL MT;;"AVHISTORIADOR RUBENS DE MENDONCA,1856 78050000-CUIABA-MT BRASIL";;54;18/06/2025 00:00;EN73;305;57.228.585/0002-08;;;AV;HISTORIADOR RUBENS DE MENDONCA;1856;SALA 706 CXPST 12;78050000;BOSQUE DA SAUDE;CUIABA;MT;2313;BR;FRONTEIRA DISTRIBUIDORA FILIAL MT;EN73;N;68;;N;14.173.263-6;Ativo
69;FRONTEIRA TRANSPORTADORA DE ASFALTO E DERIVADOS DE PETRÓLEO LTDA;;"RODBR 163,SN 68190000-ITAITUBA-PA BRASIL";;54;20/08/2025 00:00;EN70;887;57.483.494/0001-20;159941229;PA;ROD;BR 163;SN;"km:30;lote:gleba 07";68190000;Campo Verde;Itaituba;PA;2474;BR;FRONTEIRA TRANSPORTES;EN70;S;;;N;15.994.122-9;Ativo
70;FRONTEIRA TRANSPORTADORA DE ASFALTO E DERIVADOS DE PETROLEO LTDA FILIAL MT;;"AVENIDAHISTORIADOR RUBENS DE MENDONCA,1856 78050000-CUIABA-MT BRASIL";;54;20/08/2025 00:00;EN71;887;57.483.494/0002-00;140955534;MT;AVENIDA;HISTORIADOR RUBENS DE MENDONCA;1856;SALA 706 CXPST 13;78050000;BOSQUE DA SAUDE;CUIABA;MT;2313;BR;FRONTEIRA TRANSPORTES FILIAL MT;EN71;N;69;;N;14.095.553-4;Ativo
71;V. F. GOMES CONSTRUTORA LTDA - FILIAL REDENÇÃO;;"RUALUIS VARGAS DUMONT,69 68552030-REDENÇÃO-PA BRASIL";;54;14/05/2025 00:00;EN72;601;13.495.966/0010-80;;;Rua;LUIS VARGAS DUMONT;69;;68552030;CAPUAVA;REDENÇÃO;PA;2516;BR;V. F. GOMES CONSTRUTORA - FILIAL REDENÇÃO;EN72;N;1;;N;Isento;Ativo
57;CONSORCIO UFV - INDIAVAI I;;"AVGOVERNADOR JAIME CAMPOS,295 78.295-000-INDIAVAI-MT BRASIL";;54;30/09/2025 00:00;EN58;1119;50.389.423/0001-13;;;AV;GOVERNADOR JAIME CAMPOS;295;;78.295-000;Centro;INDIAVAI;MT;2325;BR;;EN58;N;13;50.389.423/0001-13;N;Isento;Ativo
73;V. F. GOMES LOCACOES DE MAQUINAS E VEICULOS LTDA FILIAL MG;;"RUADOS INCONFIDENTES,911 30140128-BELO HORIZONTE-MG BRASIL";;146;08/01/2026 00:00;EN74;1113;43.687.443/0006-10;53712180047;MG;Rua;DOS INCONFIDENTES;911;SALA 701;30140128;SAVASSI;BELO HORIZONTE;MG;1410;BR;V.F. GOMES LOCACOES FILIAL MT;EN74;N;8;;N;53712180047;Ativo
74;V. F. GOMES LOCACOES DE MAQUINAS E VEICULOS LTDA FILIAL MS;;"RUAPIRAPUTANGA,349 79045110-CAMPO GRANDE-MS BRASIL";;;16/06/2025 00:00;EN75;1113;43.687.443/0004-58;;;Rua;PIRAPUTANGA;349;;79045110;JARDIM NOROESTE;CAMPO GRANDE;MS;2217;BR;V.F. GOMES LOCACOES FILIAL MS;EN75;N;8;;N;Isento;Ativo
75;V. F. GOMES LOCACOES DE MAQUINAS E VEICULOS LTDA FILIAL SP;;"RUAAUGUSTA,101 01305000-SAO PAULO-SP BRASIL";;261;16/06/2025 00:00;EN76;1113;43.687.443/0003-77;154.037.171.110;SP;Rua;AUGUSTA;101;SALA 1018 ANDAR 1;01305000;CONSOLACAO;SAO PAULO;SP;5344;BR;V.F. GOMES LOCACOES FILIAL SP;EN76;N;8;;N;154.037.171.110;Ativo
76;V. F. GOMES LOCACOES DE MAQUINAS E VEICULOS LTDA FILIAL RO;;"ROD,BR 364,,S/N 76834899-PORTO VELHO-RO BRASIL";;;16/06/2025 00:00;EN77;1113;43.687.443/0005-39;00000007285043;RO;ROD,;BR 364,;S/N;QUADRA 02,;76834899;CASCALHEIRA;Porto Velho;RO;3884;BR;V.F. GOMES LOCACOES FILIAL RO;EN77;N;8;;N;7285043;Ativo
77;MOD CONSTRUCAO INTELIGENTE LTDA;;"AVJAIR PINHEIRO,56 78.558-512-SINOP-MT BRASIL";;54;13/08/2025 00:00;EN78;820;59.000.287/0001-00;;;AV;JAIR PINHEIRO;56;;78.558-512;LIC SUL;Sinop;MT;2403;BR;MOD CONSTRUCAO INTELIGENTE;EN78;N;;;N;14.102.910-2;Ativo
78;ENERGIA ZERO CARBONO ELETROPOSTOS LTDA FILIAL NOVA MUTUM;;"RUADOS AGUAPES,982 78.456-022-NOVA MUTUM-MT BRASIL";;;30/10/2025 00:00;EN79;623;51.430.673/0003-84;;;Rua;DOS AGUAPES;982;QUADRA A LOTE 3;78.456-022;LOTEAMENTO RESIDENCIAL BURITIS;NOVA MUTUM;MT;2354;BR;ENERGIZE - C ELETROPOSTOS;EN79;N;56;;N;Isento;Ativo
79;ENERGIA ZERO CARBONO ELETROPOSTOS LTDA FILIAL PORTO VELHO;;"RUAABUNA,3412 76.820-862-PORTO VELHO-RO BRASIL";;;31/10/2025 00:00;EN80;623;51.430.673/0002-01;;;Rua;ABUNA;3412;;76.820-862;EMBRATEL;Porto Velho;RO;3884;BR;ENERGIZE - C ELETROPOSTOS;EN80;N;56;;N;Isento;Ativo
80;ENERGIA ZERO CARBONO ELETROPOSTOS LTDA FILIAL CUIABÁ;;"RUADAS LARANJEIRAS (VL JUSSARA),SN 78010740-CUIABÁ-MT BRASIL";;146;09/01/2026 00:00;EN81;623;51.430.673/0004-65;;;Rua;DAS LARANJEIRAS (VL JUSSARA);SN;LOTE 13 QUADRA02;78010740;LARANJEIRAS (VL JUSSARA);CUIABÁ;MT;2313;BR;;EN81;N;;;N;Isento;Ativo
81;FRONTEIRA TRANSPORTADORA DE ASFALTO E DERIVADOS DE PETROLEO LTDA FILIAL RO;;"RUAABUNA,3412 78.820-862-PORTO VELHO-RO BRASIL";;146;09/01/2026 00:00;EN82;887;57.483.494/0003-91;00000007490500;RO;Rua;ABUNA;3412;SALA 001;78.820-862;ABUNA;Porto Velho;RO;3884;BR;FRONTEIRA TRANSPORTE FILIAL RO;EN82;N;;;N;7490500;Ativo
56;ENERGIA ZERO CARBONO ELETROPOSTOS LTDA;;"AVDAS EMBAUBAS,1100 78.550-222-SINOP-MT BRASIL";;146;09/01/2026 00:00;EN57;623;51.430.673/0001-12;;;AV;DAS EMBAUBAS;1100;TERREOSALA 3;78.550-222;Setor Comercial;Sinop;MT;2403;BR;ENERGIZE - C ELETROPOSTOS;EN57;S;;;N;Isento;Ativo
90;VIA NORTE SUL RODOVIAS S/A;;"AV DAS EMBAUBAS,1100 78.550-222-SINOP-MT BRASIL";;17;12/02/2021 00:00;EN90;601;40.832.664/0001-31;Isento;MT;AV;DAS EMBAUBAS;1100;ANDAR 01;78.550-222;SETOR COMERCIAL;SINOP;MT;2403;BR;VIA NORTE SUL RODOVIAS S/A;EN90;S;;;N;;
